name,value,group,weight
qa1827,4.427,streamflowa,1.87704
qa1828,4.27,streamflowa,1.87704
qa1829,4.113,streamflowa,1.87704
qa1830,3.956,streamflowa,1.87704
qa1831,3.799,streamflowa,1.87704
qa1832,4.113,streamflowa,1.87704
qa1833,5.483,streamflowa,1.87704
qa1834,5.483,streamflowa,1.87704
qa1835,6.022,streamflowa,1.87704
qa1836,6.585,streamflowa,1.87704
qa1837,6.382,streamflowa,1.87704
qa1838,6.202,streamflowa,1.87704
qa1839,6.022,streamflowa,1.87704
qa1840,5.483,streamflowa,1.87704
qa1841,5.123,streamflowa,1.87704
qa1842,4.764,streamflowa,1.87704
qa1843,4.584,streamflowa,1.87704
qa1844,4.584,streamflowa,1.87704
qa1845,4.427,streamflowa,1.87704
qa1846,4.427,streamflowa,1.87704
qa1847,4.27,streamflowa,1.87704
qa1848,4.113,streamflowa,1.87704
qa1849,3.956,streamflowa,1.87704
qa1850,3.799,streamflowa,1.87704
qa1851,3.799,streamflowa,1.87704
qa1852,3.641,streamflowa,1.87704
qa1853,3.484,streamflowa,1.87704
qa1854,3.327,streamflowa,1.87704
qa1855,3.327,streamflowa,1.87704
qa1856,3.327,streamflowa,1.87704
qa1857,3.17,streamflowa,1.87704
qa1858,3.17,streamflowa,1.87704
qa1859,3.013,streamflowa,1.87704
qa1860,3.013,streamflowa,1.87704
qa1861,2.873,streamflowb,4.37019
qa1862,2.873,streamflowb,4.37019
qa1863,2.873,streamflowb,4.37019
qa1864,2.873,streamflowb,4.37019
qa1865,2.873,streamflowb,4.37019
qa1866,2.873,streamflowb,4.37019
qa1867,2.873,streamflowb,4.37019
qa1868,3.013,streamflowa,1.87704
qa1869,3.013,streamflowa,1.87704
qa1870,3.013,streamflowa,1.87704
qa1871,3.17,streamflowa,1.87704
qa1872,3.484,streamflowa,1.87704
qa1873,3.956,streamflowa,1.87704
qa1874,4.113,streamflowa,1.87704
qa1875,4.27,streamflowa,1.87704
qa1876,4.427,streamflowa,1.87704
qa1877,7.395,streamflowa,1.87704
qa1878,8.632,streamflowa,1.87704
qa1879,11.65,streamflowa,1.87704
qa1880,16.43,streamflowa,1.87704
qa1881,12.145,streamflowa,1.87704
qa1882,10.208,streamflowa,1.87704
qa1883,8.407,streamflowa,1.87704
qa1884,7.8,streamflowa,1.87704
qa1885,7.192,streamflowa,1.87704
qa1886,6.585,streamflowa,1.87704
qa1887,6.202,streamflowa,1.87704
qa1888,5.663,streamflowa,1.87704
qa1889,5.303,streamflowa,1.87704
qa1890,4.944,streamflowa,1.87704
qa1891,4.764,streamflowa,1.87704
qa1892,4.764,streamflowa,1.87704
qa1893,4.764,streamflowa,1.87704
qa1894,4.584,streamflowa,1.87704
qa1895,4.584,streamflowa,1.87704
qa1896,4.427,streamflowa,1.87704
qa1897,4.764,streamflowa,1.87704
qa1898,5.303,streamflowa,1.87704
qa1899,5.483,streamflowa,1.87704
qa1900,6.382,streamflowa,1.87704
qa1901,8.857,streamflowa,1.87704
qa1902,12.889,streamflowa,1.87704
qa1903,18.776,streamflowa,1.87704
qa1904,18.483,streamflowa,1.87704
qa1905,13.408,streamflowa,1.87704
qa1906,11.154,streamflowa,1.87704
qa1907,9.983,streamflowa,1.87704
qa1908,8.632,streamflowa,1.87704
qa1909,8.205,streamflowa,1.87704
qa1910,8.205,streamflowa,1.87704
qa1911,8.002,streamflowa,1.87704
qa1912,8.205,streamflowa,1.87704
qa1913,9.983,streamflowa,1.87704
qa1914,8.407,streamflowa,1.87704
qa1915,7.597,streamflowa,1.87704
qa1916,6.99,streamflowa,1.87704
qa1917,6.585,streamflowa,1.87704
qa1918,6.202,streamflowa,1.87704
qa1919,6.022,streamflowa,1.87704
qa1920,6.382,streamflowa,1.87704
qa1921,5.843,streamflowa,1.87704
qa1922,5.483,streamflowa,1.87704
qa1923,5.123,streamflowa,1.87704
qa1924,4.944,streamflowa,1.87704
qa1925,4.764,streamflowa,1.87704
qa1926,4.584,streamflowa,1.87704
qa1927,4.427,streamflowa,1.87704
qa1928,4.27,streamflowa,1.87704
qa1929,4.113,streamflowa,1.87704
qa1930,4.113,streamflowa,1.87704
qa1931,3.956,streamflowa,1.87704
qa1932,3.799,streamflowa,1.87704
qa1933,3.641,streamflowa,1.87704
qa1934,3.641,streamflowa,1.87704
qa1935,3.641,streamflowa,1.87704
qa1936,3.641,streamflowa,1.87704
qa1937,3.484,streamflowa,1.87704
qa1938,3.956,streamflowa,1.87704
qa1939,4.113,streamflowa,1.87704
qa1940,3.799,streamflowa,1.87704
qa1941,3.799,streamflowa,1.87704
qa1942,3.956,streamflowa,1.87704
qa1943,3.799,streamflowa,1.87704
qa1944,3.641,streamflowa,1.87704
qa1945,3.641,streamflowa,1.87704
qa1946,3.956,streamflowa,1.87704
qa1947,3.956,streamflowa,1.87704
qa1948,3.799,streamflowa,1.87704
qa1949,4.584,streamflowa,1.87704
qa1950,5.123,streamflowa,1.87704
qa1951,4.764,streamflowa,1.87704
qa1952,4.584,streamflowa,1.87704
qa1953,5.123,streamflowa,1.87704
qa1954,8.002,streamflowa,1.87704
qa1955,6.585,streamflowa,1.87704
qa1956,4.944,streamflowa,1.87704
qa1957,5.123,streamflowa,1.87704
qa1958,4.764,streamflowa,1.87704
qa1959,4.764,streamflowa,1.87704
qa1960,4.584,streamflowa,1.87704
qa1961,5.123,streamflowa,1.87704
qa1962,4.584,streamflowa,1.87704
qa1963,4.27,streamflowa,1.87704
qa1964,4.113,streamflowa,1.87704
qa1965,3.956,streamflowa,1.87704
qa1966,3.799,streamflowa,1.87704
qa1967,3.799,streamflowa,1.87704
qa1968,3.641,streamflowa,1.87704
qa1969,3.484,streamflowa,1.87704
qa1970,3.484,streamflowa,1.87704
qa1971,3.327,streamflowa,1.87704
qa1972,3.327,streamflowa,1.87704
qa1973,3.327,streamflowa,1.87704
qa1974,3.327,streamflowa,1.87704
qa1975,3.327,streamflowa,1.87704
qa1976,3.327,streamflowa,1.87704
qa1977,3.484,streamflowa,1.87704
qa1978,3.327,streamflowa,1.87704
qa1979,3.17,streamflowa,1.87704
qa1980,3.17,streamflowa,1.87704
qa1981,3.013,streamflowa,1.87704
qa1982,3.17,streamflowa,1.87704
qa1983,3.17,streamflowa,1.87704
qa1984,3.641,streamflowa,1.87704
qa1985,4.764,streamflowa,1.87704
qa1986,3.956,streamflowa,1.87704
qa1987,3.641,streamflowa,1.87704
qa1988,3.484,streamflowa,1.87704
qa1989,3.327,streamflowa,1.87704
qa1990,3.17,streamflowa,1.87704
qa1991,3.17,streamflowa,1.87704
qa1992,3.013,streamflowa,1.87704
qa1993,2.873,streamflowb,4.37019
qa1994,2.873,streamflowb,4.37019
qa1995,2.873,streamflowb,4.37019
qa1996,2.733,streamflowb,4.37019
qa1997,2.733,streamflowb,4.37019
qa1998,2.733,streamflowb,4.37019
qa1999,2.733,streamflowb,4.37019
qa2000,2.733,streamflowb,4.37019
qa2001,2.733,streamflowb,4.37019
qa2002,2.733,streamflowb,4.37019
qa2003,2.733,streamflowb,4.37019
qa2004,2.593,streamflowb,4.37019
qa2005,2.593,streamflowb,4.37019
qa2006,2.453,streamflowb,4.37019
qa2007,2.453,streamflowb,4.37019
qa2008,2.453,streamflowb,4.37019
qa2009,2.453,streamflowb,4.37019
qa2010,2.313,streamflowb,4.37019
qa2011,2.313,streamflowb,4.37019
qa2012,2.313,streamflowb,4.37019
qa2013,2.313,streamflowb,4.37019
qa2014,2.313,streamflowb,4.37019
qa2015,2.184,streamflowb,4.37019
qa2016,2.184,streamflowb,4.37019
qa2017,2.184,streamflowb,4.37019
qa2018,2.184,streamflowb,4.37019
qa2019,2.184,streamflowb,4.37019
qa2020,2.184,streamflowb,4.37019
qa2021,2.184,streamflowb,4.37019
qa2022,2.184,streamflowb,4.37019
qa2023,2.184,streamflowb,4.37019
qa2024,2.184,streamflowb,4.37019
qa2025,2.184,streamflowb,4.37019
qa2026,2.184,streamflowb,4.37019
qa2027,2.184,streamflowb,4.37019
qa2028,2.184,streamflowb,4.37019
qa2029,2.184,streamflowb,4.37019
qa2030,2.056,streamflowb,4.37019
qa2031,2.056,streamflowb,4.37019
qa2032,2.056,streamflowb,4.37019
qa2033,2.056,streamflowb,4.37019
qa2034,2.056,streamflowb,4.37019
qa2035,2.056,streamflowb,4.37019
qa2036,2.056,streamflowb,4.37019
qa2037,2.056,streamflowb,4.37019
qa2038,2.056,streamflowb,4.37019
qa2039,2.056,streamflowb,4.37019
qa2040,1.927,streamflowb,4.37019
qa2041,1.927,streamflowb,4.37019
qa2042,1.927,streamflowb,4.37019
qa2043,1.927,streamflowb,4.37019
qa2044,1.799,streamflowb,4.37019
qa2045,1.799,streamflowb,4.37019
qa2046,1.799,streamflowb,4.37019
qa2047,1.799,streamflowb,4.37019
qa2048,1.67,streamflowc,6.48569
qa2049,1.67,streamflowc,6.48569
qa2050,1.67,streamflowc,6.48569
qa2051,1.927,streamflowb,4.37019
qa2052,1.799,streamflowb,4.37019
qa2053,1.67,streamflowc,6.48569
qa2054,1.67,streamflowc,6.48569
qa2055,1.67,streamflowc,6.48569
qa2056,1.67,streamflowc,6.48569
qa2057,1.67,streamflowc,6.48569
qa2058,1.67,streamflowc,6.48569
qa2059,1.67,streamflowc,6.48569
qa2060,1.555,streamflowc,6.48569
qa2061,1.555,streamflowc,6.48569
qa2062,1.555,streamflowc,6.48569
qa2063,1.555,streamflowc,6.48569
qa2064,1.555,streamflowc,6.48569
qa2065,1.555,streamflowc,6.48569
qa2066,1.555,streamflowc,6.48569
qa2067,1.555,streamflowc,6.48569
qa2068,1.555,streamflowc,6.48569
qa2069,1.555,streamflowc,6.48569
qa2070,1.555,streamflowc,6.48569
qa2071,1.555,streamflowc,6.48569
qa2072,1.555,streamflowc,6.48569
qa2073,1.555,streamflowc,6.48569
qa2074,1.555,streamflowc,6.48569
qa2075,1.44,streamflowc,6.48569
qa2076,1.44,streamflowc,6.48569
qa2077,1.44,streamflowc,6.48569
qa2078,1.44,streamflowc,6.48569
qa2079,1.44,streamflowc,6.48569
qa2080,1.325,streamflowd,8.11156
qa2081,1.325,streamflowd,8.11156
qa2082,1.325,streamflowd,8.11156
qa2083,1.325,streamflowd,8.11156
qa2084,1.325,streamflowd,8.11156
qa2085,1.325,streamflowd,8.11156
qa2086,1.325,streamflowd,8.11156
qa2087,1.21,streamflowd,8.11156
qa2088,1.21,streamflowd,8.11156
qa2089,1.21,streamflowd,8.11156
qa2090,1.21,streamflowd,8.11156
qa2091,1.21,streamflowd,8.11156
qa2092,1.21,streamflowd,8.11156
qa2093,1.21,streamflowd,8.11156
qa2094,1.21,streamflowd,8.11156
qa2095,1.21,streamflowd,8.11156
qa2096,1.21,streamflowd,8.11156
qa2097,1.21,streamflowd,8.11156
qa2098,1.21,streamflowd,8.11156
qa2099,1.21,streamflowd,8.11156
qa2100,1.291,streamflowd,8.11156
qa2101,1.291,streamflowd,8.11156
qa2102,1.291,streamflowd,8.11156
qa2103,1.291,streamflowd,8.11156
qa2104,1.291,streamflowd,8.11156
qa2105,1.291,streamflowd,8.11156
qa2106,1.291,streamflowd,8.11156
qa2107,1.291,streamflowd,8.11156
qa2108,1.291,streamflowd,8.11156
qa2109,1.291,streamflowd,8.11156
qa2110,1.291,streamflowd,8.11156
qa2111,1.291,streamflowd,8.11156
qa2112,1.291,streamflowd,8.11156
qa2113,1.291,streamflowd,8.11156
qa2114,1.291,streamflowd,8.11156
qa2115,1.291,streamflowd,8.11156
qa2116,1.291,streamflowd,8.11156
qa2117,1.291,streamflowd,8.11156
qa2118,1.291,streamflowd,8.11156
qa2119,1.291,streamflowd,8.11156
qa2120,1.291,streamflowd,8.11156
qa2121,1.291,streamflowd,8.11156
qa2122,1.291,streamflowd,8.11156
qa2123,1.291,streamflowd,8.11156
qa2124,1.376,streamflowc,6.48569
qa2125,1.291,streamflowd,8.11156
qa2126,1.376,streamflowc,6.48569
qa2127,1.291,streamflowd,8.11156
qa2128,1.291,streamflowd,8.11156
qa2129,1.291,streamflowd,8.11156
qa2130,1.291,streamflowd,8.11156
qa2131,1.291,streamflowd,8.11156
qa2132,1.291,streamflowd,8.11156
qa2133,1.546,streamflowc,6.48569
qa2134,1.716,streamflowc,6.48569
qa2135,1.839,streamflowb,4.37019
qa2136,2.948,streamflowb,4.37019
qa2137,2.578,streamflowb,4.37019
qa2138,2.455,streamflowb,4.37019
qa2139,2.209,streamflowb,4.37019
qa2140,2.086,streamflowb,4.37019
qa2141,1.839,streamflowb,4.37019
qa2142,1.716,streamflowc,6.48569
qa2143,1.716,streamflowc,6.48569
qa2144,1.631,streamflowc,6.48569
qa2145,1.546,streamflowc,6.48569
qa2146,1.716,streamflowc,6.48569
qa2147,1.716,streamflowc,6.48569
qa2148,1.631,streamflowc,6.48569
qa2149,1.631,streamflowc,6.48569
qa2150,1.631,streamflowc,6.48569
qa2151,1.631,streamflowc,6.48569
qa2152,1.631,streamflowc,6.48569
qa2153,1.716,streamflowc,6.48569
qa2154,1.839,streamflowb,4.37019
qa2155,1.839,streamflowb,4.37019
qa2156,1.716,streamflowc,6.48569
qa2157,1.716,streamflowc,6.48569
qa2158,1.716,streamflowc,6.48569
qa2159,1.631,streamflowc,6.48569
qa2160,1.631,streamflowc,6.48569
qa2161,1.631,streamflowc,6.48569
qa2162,1.631,streamflowc,6.48569
qa2163,1.631,streamflowc,6.48569
qa2164,1.546,streamflowc,6.48569
qa2165,1.546,streamflowc,6.48569
qa2166,1.546,streamflowc,6.48569
qa2167,1.546,streamflowc,6.48569
qa2168,1.546,streamflowc,6.48569
qa2169,1.546,streamflowc,6.48569
qa2170,1.546,streamflowc,6.48569
qa2171,1.461,streamflowc,6.48569
qa2172,1.461,streamflowc,6.48569
qa2173,1.461,streamflowc,6.48569
qa2174,1.461,streamflowc,6.48569
qa2175,1.461,streamflowc,6.48569
qa2176,1.461,streamflowc,6.48569
qa2177,1.461,streamflowc,6.48569
qa2178,1.461,streamflowc,6.48569
qa2179,1.461,streamflowc,6.48569
qa2180,1.461,streamflowc,6.48569
qa2181,1.461,streamflowc,6.48569
qa2182,1.376,streamflowc,6.48569
qa2183,1.376,streamflowc,6.48569
qa2184,1.376,streamflowc,6.48569
qa2185,1.376,streamflowc,6.48569
qa2186,1.376,streamflowc,6.48569
qa2187,1.376,streamflowc,6.48569
qa2188,1.376,streamflowc,6.48569
qa2189,1.376,streamflowc,6.48569
qa2190,1.291,streamflowd,8.11156
qa2191,1.291,streamflowd,8.11156
qa2192,1.291,streamflowd,8.11156
qa2193,1.291,streamflowd,8.11156
qa2194,1.291,streamflowd,8.11156
qa2195,1.291,streamflowd,8.11156
qa2196,1.291,streamflowd,8.11156
qa2197,1.291,streamflowd,8.11156
qa2198,1.291,streamflowd,8.11156
qa2199,1.291,streamflowd,8.11156
qa2200,1.291,streamflowd,8.11156
qa2201,1.205,streamflowd,8.11156
qa2202,1.205,streamflowd,8.11156
qa2203,1.205,streamflowd,8.11156
qa2204,1.205,streamflowd,8.11156
qa2205,1.205,streamflowd,8.11156
qa2206,1.205,streamflowd,8.11156
qa2207,1.291,streamflowd,8.11156
qa2208,1.205,streamflowd,8.11156
qa2209,1.205,streamflowd,8.11156
qa2210,1.205,streamflowd,8.11156
qa2211,1.205,streamflowd,8.11156
qa2212,1.205,streamflowd,8.11156
qa2213,1.205,streamflowd,8.11156
qa2214,1.205,streamflowd,8.11156
qa2215,1.205,streamflowd,8.11156
qa2216,1.205,streamflowd,8.11156
qa2217,1.205,streamflowd,8.11156
qa2218,1.205,streamflowd,8.11156
qa2219,1.205,streamflowd,8.11156
qa2220,1.205,streamflowd,8.11156
qa2221,1.12,streamflowd,8.11156
qa2222,1.12,streamflowd,8.11156
qa2223,1.12,streamflowd,8.11156
qa2224,1.12,streamflowd,8.11156
qa2225,1.12,streamflowd,8.11156
qa2226,1.12,streamflowd,8.11156
qa2227,1.205,streamflowd,8.11156
qa2228,1.12,streamflowd,8.11156
qa2229,1.12,streamflowd,8.11156
qa2230,1.12,streamflowd,8.11156
qa2231,1.12,streamflowd,8.11156
qa2232,1.12,streamflowd,8.11156
qa2233,1.12,streamflowd,8.11156
qa2234,1.12,streamflowd,8.11156
qa2235,1.12,streamflowd,8.11156
qa2236,1.12,streamflowd,8.11156
qa2237,1.035,streamflowe,7.79342
qa2238,1.035,streamflowe,7.79342
qa2239,1.035,streamflowe,7.79342
qa2240,1.035,streamflowe,7.79342
qa2241,1.035,streamflowe,7.79342
qa2242,1.035,streamflowe,7.79342
qa2243,1.035,streamflowe,7.79342
qa2244,1.035,streamflowe,7.79342
qa2245,1.035,streamflowe,7.79342
qa2246,1.035,streamflowe,7.79342
qa2247,1.035,streamflowe,7.79342
qa2248,1.035,streamflowe,7.79342
qa2249,1.035,streamflowe,7.79342
qa2250,1.035,streamflowe,7.79342
qa2251,1.035,streamflowe,7.79342
qa2252,1.035,streamflowe,7.79342
qa2253,1.035,streamflowe,7.79342
qa2254,1.035,streamflowe,7.79342
qa2255,1.035,streamflowe,7.79342
qa2256,1.035,streamflowe,7.79342
qa2257,1.035,streamflowe,7.79342
qa2258,1.035,streamflowe,7.79342
qa2259,1.035,streamflowe,7.79342
qa2260,0.95,streamflowe,7.79342
qa2261,0.95,streamflowe,7.79342
qa2262,0.95,streamflowe,7.79342
qa2263,0.95,streamflowe,7.79342
qa2264,0.95,streamflowe,7.79342
qa2265,0.95,streamflowe,7.79342
qa2266,0.95,streamflowe,7.79342
qa2267,0.95,streamflowe,7.79342
qa2268,0.95,streamflowe,7.79342
qa2269,0.95,streamflowe,7.79342
qa2270,0.95,streamflowe,7.79342
qa2271,0.95,streamflowe,7.79342
qa2272,1.035,streamflowe,7.79342
qa2273,0.95,streamflowe,7.79342
qa2274,0.95,streamflowe,7.79342
qa2275,0.95,streamflowe,7.79342
qa2276,0.95,streamflowe,7.79342
qa2277,0.95,streamflowe,7.79342
qa2278,0.95,streamflowe,7.79342
qa2279,0.95,streamflowe,7.79342
qa2280,0.95,streamflowe,7.79342
qa2281,0.95,streamflowe,7.79342
qa2282,0.95,streamflowe,7.79342
qa2283,0.95,streamflowe,7.79342
qa2284,0.95,streamflowe,7.79342
qa2285,1.035,streamflowe,7.79342
qa2286,1.12,streamflowd,8.11156
qa2287,1.205,streamflowd,8.11156
qa2288,1.291,streamflowd,8.11156
qa2289,1.376,streamflowc,6.48569
qa2290,1.376,streamflowc,6.48569
qa2291,1.376,streamflowc,6.48569
qa2292,1.376,streamflowc,6.48569
qa2293,1.376,streamflowc,6.48569
qa2294,1.376,streamflowc,6.48569
qa2295,1.376,streamflowc,6.48569
qa2296,1.546,streamflowc,6.48569
qa2297,2.578,streamflowb,4.37019
qa2298,2.702,streamflowb,4.37019
qa2299,2.455,streamflowb,4.37019
qa2300,2.209,streamflowb,4.37019
qa2301,4.24,streamflowa,1.87704
qa2302,9.488,streamflowa,1.87704
qa2303,6.159,streamflowa,1.87704
qa2304,4.563,streamflowa,1.87704
qa2305,3.756,streamflowa,1.87704
qa2306,3.271,streamflowa,1.87704
qa2307,2.702,streamflowb,4.37019
qa2308,2.578,streamflowb,4.37019
qa2309,2.455,streamflowb,4.37019
qa2310,2.578,streamflowb,4.37019
qa2311,3.756,streamflowa,1.87704
qa2312,4.962,streamflowa,1.87704
qa2313,7.509,streamflowa,1.87704
qa2314,6.159,streamflowa,1.87704
qa2315,5.162,streamflowa,1.87704
qa2316,4.402,streamflowa,1.87704
qa2317,4.24,streamflowa,1.87704
qa2318,4.079,streamflowa,1.87704
qa2319,3.756,streamflowa,1.87704
qa2320,3.433,streamflowa,1.87704
qa2321,3.271,streamflowa,1.87704
qa2322,2.948,streamflowb,4.37019
qa2323,2.702,streamflowb,4.37019
qa2324,2.825,streamflowb,4.37019
qa2325,2.825,streamflowb,4.37019
qa2326,2.578,streamflowb,4.37019
qa2327,2.578,streamflowb,4.37019
qa2328,2.455,streamflowb,4.37019
qa2329,2.332,streamflowb,4.37019
qa2330,2.332,streamflowb,4.37019
qa2331,2.455,streamflowb,4.37019
qa2332,2.578,streamflowb,4.37019
qa2333,2.332,streamflowb,4.37019
qa2334,2.332,streamflowb,4.37019
qa2335,2.209,streamflowb,4.37019
qa2336,2.086,streamflowb,4.37019
qa2337,2.086,streamflowb,4.37019
qa2338,2.086,streamflowb,4.37019
qa2339,1.962,streamflowb,4.37019
qa2340,1.962,streamflowb,4.37019
qa2341,1.962,streamflowb,4.37019
qa2342,1.839,streamflowb,4.37019
qa2343,1.839,streamflowb,4.37019
qa2344,1.839,streamflowb,4.37019
qa2345,1.839,streamflowb,4.37019
qa2346,1.962,streamflowb,4.37019
qa2347,1.716,streamflowc,6.48569
qa2348,1.716,streamflowc,6.48569
qa2349,1.716,streamflowc,6.48569
qa2350,1.631,streamflowc,6.48569
qa2351,1.631,streamflowc,6.48569
qa2352,1.631,streamflowc,6.48569
qa2353,1.631,streamflowc,6.48569
qa2354,1.631,streamflowc,6.48569
qa2355,1.631,streamflowc,6.48569
qa2356,1.546,streamflowc,6.48569
qa2357,1.546,streamflowc,6.48569
qa2358,1.546,streamflowc,6.48569
qa2359,1.546,streamflowc,6.48569
qa2360,1.546,streamflowc,6.48569
qa2361,1.546,streamflowc,6.48569
qa2362,1.716,streamflowc,6.48569
qa2363,1.631,streamflowc,6.48569
qa2364,1.546,streamflowc,6.48569
qa2365,1.461,streamflowc,6.48569
qa2366,1.461,streamflowc,6.48569
qa2367,1.461,streamflowc,6.48569
qa2368,1.376,streamflowc,6.48569
qa2369,1.376,streamflowc,6.48569
qa2370,1.376,streamflowc,6.48569
qa2371,1.376,streamflowc,6.48569
qa2372,1.376,streamflowc,6.48569
qa2373,1.376,streamflowc,6.48569
qa2374,1.376,streamflowc,6.48569
qa2375,1.376,streamflowc,6.48569
qa2376,1.291,streamflowd,8.11156
qa2377,1.291,streamflowd,8.11156
qa2378,1.291,streamflowd,8.11156
qa2379,1.291,streamflowd,8.11156
qa2380,1.291,streamflowd,8.11156
qa2381,1.291,streamflowd,8.11156
qa2382,1.205,streamflowd,8.11156
qa2383,1.205,streamflowd,8.11156
qa2384,1.205,streamflowd,8.11156
qa2385,1.205,streamflowd,8.11156
qa2386,1.205,streamflowd,8.11156
qa2387,1.12,streamflowd,8.11156
qa2388,1.12,streamflowd,8.11156
qa2389,1.12,streamflowd,8.11156
qa2390,1.12,streamflowd,8.11156
qa2391,1.12,streamflowd,8.11156
qa2392,1.12,streamflowd,8.11156
qa2393,1.12,streamflowd,8.11156
qa2394,1.12,streamflowd,8.11156
qa2395,1.12,streamflowd,8.11156
qa2396,1.035,streamflowe,7.79342
qa2397,1.035,streamflowe,7.79342
qa2398,1.035,streamflowe,7.79342
qa2399,1.035,streamflowe,7.79342
qa2400,1.035,streamflowe,7.79342
qa2401,1.12,streamflowd,8.11156
qa2402,1.035,streamflowe,7.79342
qa2403,1.035,streamflowe,7.79342
qa2404,0.95,streamflowe,7.79342
qa2405,0.95,streamflowe,7.79342
qa2406,0.95,streamflowe,7.79342
qa2407,0.95,streamflowe,7.79342
qa2408,0.95,streamflowe,7.79342
qa2409,0.95,streamflowe,7.79342
qa2410,0.95,streamflowe,7.79342
qa2411,0.95,streamflowe,7.79342
qa2412,0.865,streamflowe,7.79342
qa2413,0.865,streamflowe,7.79342
qa2414,0.865,streamflowe,7.79342
qa2415,0.865,streamflowe,7.79342
qa2416,0.769,streamflowe,7.79342
qa2417,0.817,streamflowe,7.79342
qa2418,0.865,streamflowe,7.79342
qa2419,0.865,streamflowe,7.79342
qa2420,0.865,streamflowe,7.79342
qa2421,0.865,streamflowe,7.79342
qa2422,0.817,streamflowe,7.79342
qa2423,0.817,streamflowe,7.79342
qa2424,0.817,streamflowe,7.79342
qa2425,0.817,streamflowe,7.79342
qa2426,0.817,streamflowe,7.79342
qa2427,0.817,streamflowe,7.79342
qa2428,0.865,streamflowe,7.79342
qa2429,0.817,streamflowe,7.79342
qa2430,0.817,streamflowe,7.79342
qa2431,0.817,streamflowe,7.79342
qa2432,0.817,streamflowe,7.79342
qa2433,0.817,streamflowe,7.79342
qa2434,0.817,streamflowe,7.79342
qa2435,0.95,streamflowe,7.79342
qa2436,0.769,streamflowe,7.79342
qa2437,0.769,streamflowe,7.79342
qa2438,0.769,streamflowe,7.79342
qa2439,0.769,streamflowe,7.79342
qa2440,0.769,streamflowe,7.79342
qa2441,0.769,streamflowe,7.79342
qa2442,0.769,streamflowe,7.79342
qa2443,0.769,streamflowe,7.79342
qa2444,0.817,streamflowe,7.79342
qa2445,0.769,streamflowe,7.79342
qa2446,0.769,streamflowe,7.79342
qa2447,0.769,streamflowe,7.79342
qa2448,0.769,streamflowe,7.79342
qa2449,0.721,streamflowe,7.79342
qa2450,0.721,streamflowe,7.79342
qa2451,0.721,streamflowe,7.79342
qa2452,0.721,streamflowe,7.79342
qa2453,0.721,streamflowe,7.79342
qa2454,0.721,streamflowe,7.79342
qa2455,0.721,streamflowe,7.79342
qa2456,0.721,streamflowe,7.79342
qa2457,0.721,streamflowe,7.79342
qa2458,0.721,streamflowe,7.79342
qa2459,0.721,streamflowe,7.79342
qa2460,0.721,streamflowe,7.79342
qa2461,0.865,streamflowe,7.79342
qa2462,0.769,streamflowe,7.79342
qa2463,0.769,streamflowe,7.79342
qa2464,0.817,streamflowe,7.79342
qa2465,0.769,streamflowe,7.79342
qa2466,0.811,streamflowe,7.79342
qa2467,0.811,streamflowe,7.79342
qa2468,0.811,streamflowe,7.79342
qa2469,0.811,streamflowe,7.79342
qa2470,0.811,streamflowe,7.79342
qa2471,0.811,streamflowe,7.79342
qa2472,0.811,streamflowe,7.79342
qa2473,0.762,streamflowe,7.79342
qa2474,0.762,streamflowe,7.79342
qa2475,0.762,streamflowe,7.79342
qa2476,0.811,streamflowe,7.79342
qa2477,0.86,streamflowe,7.79342
qa2478,0.86,streamflowe,7.79342
qa2479,0.811,streamflowe,7.79342
qa2480,0.86,streamflowe,7.79342
qa2481,0.811,streamflowe,7.79342
qa2482,0.811,streamflowe,7.79342
qa2483,0.811,streamflowe,7.79342
qa2484,0.86,streamflowe,7.79342
qa2485,0.909,streamflowe,7.79342
qa2486,0.958,streamflowe,7.79342
qa2487,1.042,streamflowe,7.79342
qa2488,0.909,streamflowe,7.79342
qa2489,0.86,streamflowe,7.79342
qa2490,0.86,streamflowe,7.79342
qa2491,0.909,streamflowe,7.79342
qa2492,0.958,streamflowe,7.79342
qa2493,0.958,streamflowe,7.79342
qa2494,0.958,streamflowe,7.79342
qa2495,0.909,streamflowe,7.79342
qa2496,0.958,streamflowe,7.79342
qa2497,0.909,streamflowe,7.79342
qa2498,0.909,streamflowe,7.79342
qa2499,0.909,streamflowe,7.79342
qa2500,2.048,streamflowb,4.37019
qa2501,6.473,streamflowa,1.87704
qa2502,3.309,streamflowa,1.87704
qa2503,2.172,streamflowb,4.37019
qa2504,1.925,streamflowb,4.37019
qa2505,4.259,streamflowa,1.87704
qa2506,7.736,streamflowa,1.87704
qa2507,6.317,streamflowa,1.87704
qa2508,5.414,streamflowa,1.87704
qa2509,4.124,streamflowa,1.87704
qa2510,3.445,streamflowa,1.87704
qa2511,3.038,streamflowa,1.87704
qa2512,2.667,streamflowb,4.37019
qa2513,2.543,streamflowb,4.37019
qa2514,2.42,streamflowb,4.37019
qa2515,2.172,streamflowb,4.37019
qa2516,2.048,streamflowb,4.37019
qa2517,2.048,streamflowb,4.37019
qa2518,1.925,streamflowb,4.37019
qa2519,1.801,streamflowb,4.37019
qa2520,1.801,streamflowb,4.37019
qa2521,1.717,streamflowc,6.48569
qa2522,1.801,streamflowb,4.37019
qa2523,1.801,streamflowb,4.37019
qa2524,1.801,streamflowb,4.37019
qa2525,1.717,streamflowc,6.48569
